City,Neighborhood,Lat,Lng
Agadir,Tassila,30.6560103,-9.6446738
Agadir,Tilila,30.3984274,-9.516003
Agadir,Hay Mohammadi,30.4387288,-9.5580581
Agadir,Hay Qods,30.4276758,-9.5561904
Agadir,Hay Salam,30.4031734,-9.5502882
Agadir,Haut-Founty,30.399291,-9.5784304
Agadir,Anza,30.4520064,-9.6590808
Agadir,Talborjt,30.4237254,-9.5905693
Agadir,Abattoirs,30.4099062,-9.5893628
Agadir,Founty,30.3945833,-9.5931204
Agadir,El Houda,30.3992428,-9.5374739
Agadir,Centre Ville,31.5115269,-9.7687931
Agadir,Av Mokawama,,
Agadir,Hay Dakhla,30.4111874,-9.5567663
Agadir,Tamraght,30.513951,-9.677378
Agadir,Taddart Anza,30.4627568,-9.6357109
Agadir,Haut Anza,30.4550002,-9.6317217
Agadir,Ben Serguaou,,
Agadir,Autre secteur,,
Agadir,Le bord de mer,,
Agadir,Arghoud,,
Agadir,Av des Far,,
Agadir,Ihchach,30.4254499,-9.5842274
Agadir,Al Wifaq,30.3929571,-9.5637186
Agadir,Cité Adrar,,
Agadir,Zone Industrielle Agadir,30.3320486,-9.4920134
Agadir,Hay Al Farah,30.4031734,-9.5502882
Agadir,Le centre-ville,,
Agadir,Hay Massira,30.4017834,-9.5730536
Agadir,Agadir Oufella,30.4244851,-9.6114672
Agadir,Sonaba,30.3996557,-9.5878933
Agadir,Anoual Souss,30.4193807,-9.5636773
Agadir,Amicales,30.4313666,-9.5791672
Agadir,Amsernate,30.4152918,-9.5754482
Agadir,Hay Zaytoun,,
Agadir,Marina,30.4248743,-9.6128595
Agadir,Hay Najah,,
Agadir,Bouargane,,
Agadir,Riad Salam,30.4096973,-9.5762705
Agadir,Secteur Touristique,,
Agadir,Lekhiam,,
Agadir,Hay Al Wafaa,,
Agadir,Wifaq,30.3929571,-9.5637186
Agadir,Hay Hassani,30.414403,-9.5846671
Agadir,Extension Dakhla,30.4063538,-9.5452951
Agadir,Assaka,30.3783766,-9.5152871
Agadir,Najah,30.4248759,-9.5806469
Rabat,Souissi,33.9688418,-6.8348164
Rabat,Hay Riad,33.9567844,-6.8777482
Rabat,Hassan,34.0139405,-6.8256177
Rabat,Aakkari,34.006362,-6.8560583
Rabat,Autre secteur,,
Rabat,Agdal,33.9983119,-6.8542908
Rabat,Hay Nahda,33.9779476,-6.8161983
Rabat,Kébibat,34.0152895,-6.8541718
Rabat,Guich Oudaya,33.9394209,-6.8862954
Rabat,Diour Jamaa,34.0135783,-6.8467906
Rabat,Hay Arrachad,,
Rabat,Riyad,33.951829,-6.884073
Rabat,Quartier de l'Océan,,
Rabat,Yacoub El Mansour,33.9738778,-6.8926131
Rabat,Hay el Fath,33.8334274,-7.0547693
Rabat,El Youssoufia,33.9845243,-6.8203304
Rabat,Médina de Rabat,34.019368,-6.8277679
Rabat,Al Irfane,33.9816535,-6.8646296
Rabat,Haut Agdal,33.9931706,-6.857981
Rabat,Aviation - Mabella,,
Rabat,Hay Al Farah,,
Rabat,Riyad Extension,,
Rabat,Abi Ragrag,,
Rabat,Taqaddoum,,
Marrakech,Av Mohammed VI,31.5768415,-7.9845679
Marrakech,Hay Izdihar,,
Marrakech,Guéliz,31.6321881,-8.0108135
Marrakech,Mabrouka,31.6240284,-7.9897085
Marrakech,Route de Casablanca,31.6786906,-7.9994872
Marrakech,Agdal,31.5927743,-7.9987925
Marrakech,Autre secteur,,
Marrakech,Route de Safi,31.6415023,-8.0316972
Marrakech,Palmeraie,31.6747627,-7.982627
Marrakech,Hivernage,31.6225589,-8.0083128
Marrakech,Route de Tamansourt,,
Marrakech,Es Saada,,
Marrakech,Azli,31.6234522,-8.0540472
Marrakech,Route de Tahanaoute,,
Marrakech,Assif,31.6543389,-8.0056702
Marrakech,Victor Hugo,31.6414423,-8.0233207
Marrakech,Majorelle,31.6414746,-8.0029077
Marrakech,Route de Fès,31.6480093,-7.9386197
Marrakech,M'Hamid,31.5912101,-8.0477137
Marrakech,Hay Targa,31.6349018,-8.0516982
Marrakech,Semlalia,31.6446256,-8.0132807
Marrakech,Route de Ouarzazate,,
Marrakech,Bab Doukkala,31.6339851,-7.9989925
Marrakech,Av Abdelkrim El Khattabi,,
Marrakech,Hay Charaf,,
Marrakech,Les Portes de Marrakech,31.6491388,-8.0385605
Marrakech,Allal El Fassi,31.6546754,-8.0026128
Marrakech,Daoudiate,31.653858,-7.9938905
Marrakech,Centre Ville,31.5115269,-9.7687931
Marrakech,Massira 1,31.6342909,-8.067871
Marrakech,Annakhil,31.6509445,-7.9592152
Marrakech,Route d'Amezmiz,,
Marrakech,Azzouzia,31.688837,-8.0721167
Marrakech,Harti,31.6307737,-8.0112248
Marrakech,Ain Mezouar,31.6273542,-8.0377649
Marrakech,Bouaakkaz,31.5937554,-8.0211261
Marrakech,Amerchich,31.6695899,-8.0044112
Marrakech,Targa,31.6443637,-8.0421632
Marrakech,Massira 2,31.6367391,-8.0665973
Marrakech,Akioud,31.0465469,-7.9496658
Marrakech,Route d'Ourika,31.3770011,-7.8055863
Marrakech,Sidi Youssef Ben Ali,31.6090052,-7.9679007
Marrakech,Issil,31.661077,-8.0103468
Marrakech,Hôpital Militaire,31.6348612,-8.0216517
Marrakech,Socoma,31.6192533,-8.064403
Marrakech,El Ghoul,,
Marrakech,Zone Industrielle Sidi Ghanem,31.6718587,-8.0461576
Marrakech,Rouidat,,
Marrakech,Massira,31.6340699,-8.0557608
Marrakech,Bd Moulay Abdellah,31.6265846,-7.9919735
Marrakech,Amelkis,31.6119434,-7.945602
